UK;DK;;;;
;;Soccer;Bulgaria;Bulgarian Cup;377
;;Soccer;Bulgaria;Super Cup;4647
;;Soccer;Cameroon;Elite One;4712
;;Soccer;Canada;Canadian Soccer League;4707
;;Soccer;Canada;Canadian Soccer League, Playoffs;9269
;;Soccer;Chile;Copa Chile, Group 1;35021
;;Soccer;Chile;Copa Chile, Group 2;35022
;;Soccer;Chile;Copa Chile, Group 3;35023
;;Soccer;Chile;Copa Chile, Group 4;35024
;;Soccer;Chile;Copa Chile, Group 5;35025
;;Soccer;Chile;Copa Chile, Group 6;35026
;;Soccer;Chile;Copa Chile, Group 7;35027
;;Soccer;Chile;Copa Chile, Group 8;35028
;;Soccer;Chile;Copa Chile, Knockout stage;9133
;;Soccer;Chile;Primera B, Apertura;30061
;;Soccer;Chile;Primera B, Apertura, Playoffs;47891
;;Soccer;Chile;Primera B, Clausura;30092
;;Soccer;Chile;Primera B, Playoffs;24437
;;Soccer;Chile;Primera Division, Apertura;71
;;Soccer;Chile;Primera Division, Apertura Playoffs;19120
;;Soccer;Chile;Primera Division, Apertura Super Final;31929
;;Soccer;Chile;Primera Division, Clausura;19119
;;Soccer;Chile;Primera Division, Clausura Playoffs;19121
;;Soccer;Chile;Primera Division, Liguilla Pre-Libertadores;31977
;;Soccer;Chile;Primera Division, Liguilla Pre-Sudamericana;34955
;;Soccer;Chile;Primera Division, Relegation/Promotion Playoffs;9503
;;Soccer;Chile;Primera Division, Torneo Transicion;24314
;;Soccer;Chile;Supercup;28669
;;Soccer;China;China League;3583
;;Soccer;China;Chinese Super League;652
;;Soccer;China;FA Cup;3536
;;Soccer;China;FA Super Cup;25589
;;Soccer;Colombia;Copa Colombia, Group A;35678
;;Soccer;Colombia;Copa Colombia, Group B;35679
;;Soccer;Colombia;Copa Colombia, Group C;35680
;;Soccer;Colombia;Copa Colombia, Group D;35681
;;Soccer;Colombia;Copa Colombia, Group E;35682
;;Soccer;Colombia;Copa Colombia, Group F;35683
;;Soccer;Colombia;Copa Colombia, Group G;41547
;;Soccer;Colombia;Copa Colombia, Group H;41546
;;Soccer;Colombia;Copa Colombia, Knockout stage;5269
;;Soccer;Colombia;Liga Postobon I, Group A;19233
;;Soccer;Colombia;Liga Postobon I, Group B;19234
;;Soccer;Colombia;n.i.u.;3017
;;Soccer;Colombia;Primera A, Apertura;19232
;;Soccer;Colombia;Primera A, Apertura, Playoffs;19235
;;Soccer;Colombia;Primera A, Clausura;19236
;;Soccer;Colombia;Primera A, Clausura, Playoffs;17123
;;Soccer;Colombia;Primera A, Final;19239
;;Soccer;Colombia;Primera A, Grand Final;19240
;;Soccer;Colombia;Primera A, Group A;19237
;;Soccer;Colombia;Primera A, Group B;19238
;;Soccer;Colombia;Primera A, Relegation/Promotion;11863
;;Soccer;Colombia;Primera B;8111
;;Soccer;Colombia;Primera B, Promotion Playoff;47649
;;Soccer;Colombia;Primera B, Promotion, Group A;40762
;;Soccer;Colombia;Primera B, Promotion, Group B;40763
;;Soccer;Colombia;Torneo Postobon I, Final;25415
;;Soccer;Colombia;Torneo Postobon I, Group A;25413
;;Soccer;Colombia;Torneo Postobon I, Group B;25414
;;Soccer;Colombia;Torneo Postobon II;25416
;;Soccer;Colombia;Torneo Postobon II, Group A;25417
;;Soccer;Colombia;Torneo Postobon II, Group B;25418
;;Soccer;Costa Rica;Primera Division, Campeonato Invierno;4713
;;Soccer;Costa Rica;Primera Division, Campeonato Invierno, Playoffs;7291
;;Soccer;Costa Rica;Primera Division, Campeonato Verano;3242
;;Soccer;Costa Rica;Primera Division, Campeonato Verano, Playoffs;5921
;;Soccer;Croatia;1. HNL;48
